,City,Cuisines,Cost,Tablebooking,Onlinedelivery,deliverynow,Price_range,rating,rating_color,rating_text,Votes
0,73,920,1100,1,0,0,3,4.8,0,1,314
1,73,1111,1200,1,0,0,3,4.5,0,1,591
2,75,1671,4000,1,0,0,4,4.4,1,5,270
3,75,1126,1500,0,0,0,4,4.9,0,1,365
4,75,1122,1500,1,0,0,4,4.8,0,1,229
5,75,497,1000,0,0,0,3,4.4,1,5,336
6,94,134,2000,1,0,0,4,4.0,1,5,520
7,94,1681,2000,1,0,0,4,4.2,1,5,677
8,94,796,6000,1,0,0,4,4.9,0,1,621
9,95,892,1100,1,0,0,3,4.8,0,1,532
10,95,894,800,0,0,0,3,4.9,0,1,1070
11,95,66,900,1,0,0,3,4.2,1,5,488
12,107,894,800,0,0,0,3,4.8,0,1,294
13,112,892,1000,1,0,0,3,4.2,1,5,458
14,112,1161,700,0,0,0,3,4.3,1,5,223
15,114,338,800,0,0,0,3,3.6,5,2,29
16,114,1098,850,0,0,0,3,4.0,1,5,72
17,122,892,1200,1,0,0,3,4.5,0,1,211
18,123,452,600,0,0,0,2,4.5,0,1,118
19,123,345,1500,1,0,0,4,4.4,1,5,392
20,123,1670,3000,1,0,0,4,4.7,0,1,535
21,123,9,1800,1,0,0,4,4.5,0,1,618
22,21,852,55,0,0,0,2,3.0,2,0,6
23,21,331,30,0,0,0,1,3.8,5,2,9
24,21,177,45,0,0,0,2,3.7,5,2,11
25,21,257,60,0,0,0,3,3.8,5,2,11
26,21,1618,50,0,0,0,2,3.2,2,0,11
27,21,1111,80,0,0,0,3,3.1,2,0,10
28,21,109,90,0,0,0,3,3.7,5,2,8
29,21,1111,200,0,0,0,4,3.7,5,2,5
30,21,260,30,0,0,0,1,0.0,4,3,2
31,21,1031,150,0,0,0,4,4.1,1,5,12
32,21,1618,100,0,0,0,4,3.1,2,0,9
33,21,218,60,0,0,0,3,3.6,5,2,9
34,21,1219,100,0,0,0,4,4.3,1,5,29
35,21,1022,230,0,0,0,4,4.2,1,5,17
36,21,1617,100,0,0,0,4,3.6,5,2,5
37,21,64,150,0,0,0,4,4.0,1,5,10
38,21,1667,240,0,0,0,4,3.2,2,0,6
39,21,1022,230,0,0,0,4,4.9,0,1,30
40,21,1031,350,0,0,0,4,3.3,2,0,8
41,21,29,50,0,0,0,2,3.6,5,2,9
42,111,1673,140,0,0,0,4,4.0,1,5,7
43,111,768,100,0,0,0,4,4.8,0,1,29
44,111,1141,60,0,0,0,3,4.7,0,1,24
45,111,231,90,0,0,0,3,4.5,0,1,29
46,111,1170,170,0,0,0,4,4.2,1,5,11
47,111,294,60,0,0,0,3,4.8,0,1,19
48,111,258,100,0,0,0,4,4.9,0,1,40
49,111,262,90,0,0,0,3,4.6,0,1,21
50,111,258,120,0,0,0,4,4.9,0,1,49
51,111,257,170,0,0,0,4,4.6,0,1,21
52,111,257,90,0,0,0,3,4.3,1,5,14
53,111,1031,150,0,0,0,4,4.0,1,5,5
54,111,1111,250,0,0,0,4,4.6,0,1,25
55,111,215,120,0,0,0,4,4.4,1,5,13
56,111,257,40,0,0,0,2,4.2,1,5,7
57,111,266,250,0,0,0,4,4.2,1,5,8
58,111,218,70,0,0,0,3,0.0,4,3,1
59,111,257,300,0,0,0,4,4.7,0,1,44
60,111,258,85,0,0,0,3,4.6,0,1,24
61,111,258,80,0,0,0,3,4.3,1,5,10
62,121,1098,250,0,0,0,4,4.5,0,1,49
63,121,1745,250,0,0,0,4,4.4,1,5,17
64,121,995,70,0,0,0,3,3.1,2,0,5
65,121,257,100,0,0,0,4,4.1,1,5,15
66,121,236,300,0,0,0,4,4.8,0,1,59
67,121,917,120,0,0,0,4,4.6,0,1,30
68,121,261,75,0,0,0,3,3.9,5,2,5
69,121,257,55,0,0,0,2,0.0,4,3,0
70,121,916,200,0,0,0,4,3.4,2,0,73
71,121,1782,120,0,0,0,4,3.5,5,2,9
72,121,174,300,0,0,0,4,4.3,1,5,39
73,121,1780,230,0,0,0,4,3.9,5,2,12
74,121,935,120,0,0,0,4,4.3,1,5,68
75,121,263,150,0,0,0,4,4.3,1,5,46
76,121,1031,400,0,0,0,4,4.4,1,5,37
77,121,264,65,0,0,0,3,0.0,4,3,2
78,121,257,50,0,0,0,2,0.0,4,3,2
79,121,265,100,0,0,0,4,4.4,1,5,22
80,121,259,70,0,0,0,3,4.6,0,1,58
81,121,1171,120,0,0,0,4,4.1,1,5,11
82,3,171,25,0,0,0,2,3.3,2,0,35
83,3,11,10,0,0,0,1,3.3,2,0,25
84,3,1825,0,0,0,0,1,3.4,2,0,34
85,3,1212,0,0,0,0,1,3.4,2,0,45
86,3,618,10,0,0,0,1,3.4,2,0,26
87,3,1825,0,0,0,0,1,3.4,2,0,36
88,3,828,10,0,0,0,1,3.5,5,2,67
89,3,129,10,0,0,0,1,3.9,5,2,141
90,3,1620,25,0,0,0,2,3.7,5,2,147
91,3,1748,70,0,0,0,4,3.5,5,2,51
92,3,581,25,0,0,0,2,3.6,5,2,88
93,3,497,10,0,0,0,1,3.8,5,2,153
94,3,1825,10,0,0,0,1,3.9,5,2,160
95,3,35,25,0,0,0,2,3.5,5,2,57
96,3,102,25,0,0,0,2,3.5,5,2,58
97,3,1125,40,0,0,0,3,3.6,5,2,115
98,3,1125,40,0,0,0,3,3.5,5,2,51
99,3,1694,40,0,0,0,3,3.8,5,2,250
100,3,1098,10,0,0,0,1,3.7,5,2,117
101,3,24,10,0,0,0,1,3.4,2,0,20
102,7,222,20,0,0,0,2,3.5,5,2,25
103,8,101,40,0,0,0,3,4.5,0,1,1821
104,8,1738,10,0,0,0,1,4.5,0,1,849
105,8,1212,10,0,0,0,1,4.6,0,1,917
106,8,1122,10,0,0,0,1,3.9,5,2,439
107,8,270,10,0,0,0,1,3.7,5,2,289
108,8,282,10,0,0,0,1,4.3,1,5,558
109,8,35,10,0,0,0,1,4.2,1,5,613
110,8,78,25,0,0,0,2,4.0,1,5,353
111,8,78,25,0,0,0,2,4.1,1,5,387
112,8,6,40,0,0,0,3,4.3,1,5,755
113,8,1028,10,0,0,0,1,4.2,1,5,800
114,8,1662,10,0,0,0,1,4.1,1,5,350
115,8,1031,40,0,0,0,3,4.1,1,5,464
116,8,140,25,0,0,0,2,4.2,1,5,550
117,8,1230,10,0,0,0,1,4.1,1,5,543
118,8,1027,40,0,0,0,3,4.1,1,5,465
119,8,217,10,0,0,0,1,4.4,1,5,546
120,8,1104,10,0,0,0,1,4.4,1,5,1098
121,8,300,25,0,0,0,2,4.2,1,5,579
122,8,779,10,0,0,0,1,4.1,1,5,374
123,10,585,40,0,0,0,3,4.6,0,1,717
124,10,37,40,0,0,0,3,4.9,0,1,548
125,10,1029,25,0,0,0,2,4.5,0,1,631
126,10,787,10,0,0,0,1,3.9,5,2,372
127,10,29,25,0,0,0,2,3.9,5,2,201
128,10,277,40,0,0,0,3,3.8,5,2,332
129,10,168,25,0,0,0,2,3.5,5,2,304
130,10,6,40,0,0,0,3,4.3,1,5,368
131,10,778,25,0,0,0,2,4.1,1,5,430
132,10,1104,25,0,0,0,2,4.4,1,5,433
133,10,1212,10,0,0,0,1,4.0,1,5,380
134,10,220,25,0,0,0,2,4.0,1,5,456
135,10,1228,40,0,0,0,3,4.2,1,5,647
136,10,1743,40,0,0,0,3,4.0,1,5,360
137,10,995,25,0,0,0,2,4.0,1,5,227
138,10,924,25,0,0,0,2,3.9,5,2,290
139,10,1818,10,0,0,0,1,4.1,1,5,270
140,10,326,25,0,0,0,2,4.0,1,5,326
141,10,1795,35,0,0,0,3,4.3,1,5,317
142,10,1212,10,0,0,0,1,4.2,1,5,300
143,12,1270,20,0,0,0,2,3.2,2,0,21
144,15,1619,20,0,0,0,2,4.6,0,1,237
145,20,18,25,0,0,0,2,4.5,0,1,879
146,20,1098,25,0,0,0,2,4.6,0,1,615
147,20,282,25,0,0,0,2,4.5,0,1,879
148,20,98,70,0,0,0,4,3.9,5,2,379
149,20,826,10,0,0,0,1,4.3,1,5,303
150,20,1169,70,0,0,0,4,4.1,1,5,538
151,20,35,10,0,0,0,1,4.2,1,5,334
152,20,18,25,0,0,0,2,4.3,1,5,555
153,20,29,10,0,0,0,1,4.4,1,5,823
154,20,1618,25,0,0,0,2,4.1,1,5,550
155,20,29,25,0,0,0,2,4.4,1,5,650
156,20,1618,10,0,0,0,1,4.3,1,5,410
157,20,1212,10,0,0,0,1,4.4,1,5,660
158,20,1108,25,0,0,0,2,4.4,1,5,360
159,20,1786,40,0,0,0,3,4.0,1,5,340
160,20,1129,25,0,0,0,2,4.1,1,5,393
161,20,268,10,0,0,0,1,4.3,1,5,422
162,20,257,40,0,0,0,3,4.0,1,5,435
163,20,16,25,0,0,0,2,4.0,1,5,369
164,20,6,40,0,0,0,3,4.4,1,5,487
165,23,82,40,0,0,0,3,3.7,5,2,98
166,23,1098,40,0,0,0,3,4.1,1,5,365
167,23,1212,10,0,0,0,1,4.1,1,5,190
168,23,22,40,0,0,0,3,4.1,1,5,429
169,23,12,25,0,0,0,2,4.4,1,5,430
170,23,995,25,0,0,0,2,4.2,1,5,186
171,23,587,10,0,0,0,1,4.2,1,5,220
172,23,497,10,0,0,0,1,4.2,1,5,347
173,23,78,25,0,0,0,2,3.8,5,2,161
174,23,995,25,0,0,0,2,4.1,1,5,160
175,23,294,10,0,0,0,1,4.9,0,1,820
176,23,22,10,0,0,0,1,4.5,0,1,488
177,23,274,25,0,0,0,2,3.6,5,2,253
178,23,68,40,0,0,0,3,3.8,5,2,220
179,23,1618,25,0,0,0,2,4.3,1,5,485
180,23,1022,40,0,0,0,3,4.3,1,5,428
181,23,21,25,0,0,0,2,4.1,1,5,294
182,23,1210,40,0,0,0,3,4.0,1,5,380
183,23,168,25,0,0,0,2,4.2,1,5,259
184,23,1639,25,0,0,0,2,4.7,0,1,433
185,25,1126,25,0,0,0,2,3.7,5,2,176
186,27,23,10,0,0,0,1,4.3,1,5,96
187,28,137,25,0,0,0,2,3.1,2,0,6
188,31,159,10,0,0,0,1,3.3,2,0,33
189,31,95,25,0,0,0,2,4.6,0,1,489
190,31,6,25,0,0,0,2,4.5,0,1,345
191,31,301,25,0,0,0,2,3.8,5,2,149
192,31,1619,25,0,0,0,2,3.9,5,2,330
193,31,1124,40,0,0,0,3,3.9,5,2,247
194,31,276,10,0,0,0,1,3.7,5,2,123
195,31,1125,40,0,0,0,3,3.6,5,2,109
196,31,1130,40,0,0,0,3,3.7,5,2,134
197,31,1692,40,0,0,0,3,4.2,1,5,722
198,31,1743,25,0,0,0,2,4.3,1,5,213
199,31,497,25,0,0,0,2,4.0,1,5,335
200,31,176,25,0,0,0,2,4.0,1,5,353
201,31,1098,0,0,0,0,1,4.0,1,5,170
202,31,1618,25,0,0,0,2,4.1,1,5,192
203,31,103,40,0,0,0,3,4.1,1,5,302
204,31,121,10,0,0,0,1,4.2,1,5,355
205,31,6,25,0,0,0,2,4.3,1,5,287
206,31,1079,40,0,0,0,3,4.0,1,5,264
207,31,98,40,0,0,0,3,4.4,1,5,235
208,32,508,25,0,0,0,2,3.0,2,0,6
209,33,15,25,0,0,0,2,3.7,5,2,38
210,33,785,10,0,0,0,1,4.4,1,5,122
211,33,168,25,0,0,0,2,4.4,1,5,207
212,33,1231,10,0,0,0,1,3.9,5,2,66
213,33,169,10,0,0,0,1,4.9,0,1,249
214,33,6,25,0,0,0,2,3.8,5,2,63
215,33,1126,40,0,0,0,3,3.8,5,2,145
216,33,1212,10,0,0,0,1,3.8,5,2,83
217,33,1031,25,0,0,0,2,3.7,5,2,116
218,33,29,10,0,0,0,1,4.1,1,5,122
219,33,828,10,0,0,0,1,4.1,1,5,142
220,33,1212,10,0,0,0,1,4.1,1,5,114
221,33,81,25,0,0,0,2,4.6,0,1,214
